Id,StopID,Name,Lat,Lon,Routes
2000101,2000101,PHILADELPHIA AVE + TAKOMA AVE,38.985143,-77.019003,['F4']
2000103,2000103,GEORGIA AVE + BLAIR RD,38.985214,-77.02651,"['70', '79']"
2000104,2000104,PHILADELPHIA AVE + TAKOMA AVE,38.985166,-77.019279,['F4']
2000105,2000105,CONNECTICUT AVE + LELAND ST,38.985289,-77.077303,['L8']
2000106,2000106,CONNECTICUT AVE + LELAND ST,38.985357,-77.077035,['L8']
2000107,2000107,MONTGOMERY AVE + EAST-WEST HWY,38.985498,-77.086759,['J2']
2000108,2000108,MD-650 + HOLTON LN,38.985683,-76.988272,"['K6', 'K6*2']"
2000109,2000109,EAST-WEST HWY + CHELTON RD,38.985796,-77.087626,"['J2', 'J2*2']"
2000110,2000110,RIVER RD + NEVIS RD,38.985864,-77.143126,['T2']
2000111,2000111,OLD GEORGETOWN RD + COMMERCE LN,38.986032,-77.096195,"['J2', 'J2*2']"
2000112,2000112,WISCONSIN AVE + COMMERCE LN,38.986176,-77.094746,['J2']
2000113,2000113,NEW HAMPSHIRE AVE + HOLTON LN,38.986225,-76.987884,['K6']
2000114,2000114,PHILADELPHIA AVE + CHICAGO AVE,38.98644,-77.021253,['F4']
2000115,2000115,GEORGIA AVE + 13TH ST,38.986905,-77.026809,['70']
2000116,2000116,CONNECTICUT AVE + BLACKTHORN ST,38.98686,-77.077292,['L8']
2000118,2000118,UNIVERSITY BLVD E + 14TH AVE,38.987204,-76.98525,"['C2', 'C2/', 'C4']"
2000120,2000120,EAST-WEST HWY + CONNECTICUT AVE,38.987834,-77.077737,['J2']
2000122,2000122,EAST-WEST HWY + EDGEVALE ST,38.98785,-77.08287,['J2']
2000123,2000123,WOODMONT AVE + NORFOLK AVE,38.988022,-77.095963,"['J2', 'J2*2']"
2000124,2000124,EAST-WEST HWY + CONNECTICUT AVE,38.987989,-77.076228,['J2']
2000125,2000125,EAST-WEST HWY + CONNECTICUT AVE,38.988079,-77.076494,"['J2', 'J2*2']"
2000126,2000126,EAST-WEST HWY + MAPLE AVE,38.988216,-77.082248,"['J2', 'J2*2']"
2000127,2000127,CONNECTICUT AVE + EAST-WEST HWY,38.988213,-77.077305,['L8']
2000128,2000128,WISCONSIN AVE + NORFOLK AVE,38.988403,-77.095229,['J2']
2000129,2000129,FENTON ST + RICHMOND AVE,38.988495,-77.023845,['F4']
2000130,2000130,EAST-WEST HWY + CYPRESS PL,38.988692,-77.073878,"['J2', 'J2*2']"
2000131,2000131,FENTON ST + PHILADELPHIA AVE,38.988855,-77.023731,['F4']
2000132,2000132,WISCONSIN AVE + FAIRMONT AVE,38.988864,-77.095052,"['J2', 'J2*2']"
2000133,2000133,EAST-WEST HWY + BROOKVILLE RD,38.989005,-77.070888,['J2']
2000134,2000134,RIVER RD + ROYAL DOMINION DR,38.989118,-77.149911,['T2']
2000135,2000135,CONNECTICUT AVE + CLUB DR,38.989232,-77.077038,['L8']
2000136,2000136,CONNECTICUT AVE + CLUB DR,38.989246,-77.077295,['L8']
2000137,2000137,EAST-WEST HWY + ROCTON AVE,38.989902,-77.06994,"['J2', 'J2*2']"
2000138,2000138,FENTON ST + SLIGO AVE,38.989996,-77.023811,['F4']
2000139,2000139,FENTON ST + SLIGO AVE,38.989975,-77.024064,['F4']
2000140,2000140,RIVER RD + BURDETTE RD,38.990169,-77.152193,['T2']
2000141,2000141,WISCONSIN AVE + W VIRGINIA AVE,38.990234,-77.095348,"['J2', 'J2*2']"
2000142,2000142,CONNECTICUT AVE + DUNLOP ST,38.990226,-77.0773,['L8']
2000143,2000143,CONNECTICUT AVE + DUNLOP ST,38.990349,-77.07703,['L8']
2000145,2000145,WISCONSIN AVE + CORDELL AVE,38.990746,-77.095727,['J2']
2000146,2000146,GEORGIA AVE + SILVER SPRING AVE,38.991225,-77.0268,['70']
2000147,2000147,FENTON ST + SILVER SPRING AVE,38.991171,-77.024082,['F4']
2000148,2000148,WISCONSIN AVE + HIGHLAND AVE,38.991558,-77.095631,"['J2', 'J2*2']"
2000150,2000150,EAST-WEST HWY + COLSTON PL,38.992162,-77.058121,"['J1', 'J2']"
2000151,2000151,EAST-WEST HWY + DONNYBROOK DR,38.99236,-77.058056,"['J1', 'J1*2', 'J2', 'J2*2']"
2000152,2000152,WISCONSIN AVE + BATTERY LN,38.992264,-77.096048,['J2']
2000153,2000153,EAST-WEST HWY + MEADOWBROOK LN,38.992384,-77.060138,"['J1', 'J2']"
2000154,2000154,CONNECTICUT AVE + #8101,38.992412,-77.077015,['L8']
2000155,2000155,EAST-WEST HWY + ELLINGSON DR,38.992418,-77.055689,"['J1', 'J2']"
2000156,2000156,EAST-WEST HWY + MEADOWBROOK LN,38.992638,-77.060385,"['J1', 'J1*2', 'J2', 'J2*2']"
2000157,2000157,EAST-WEST HWY + ELLINGSON DR,38.992604,-77.055543,"['J1', 'J1*2', 'J2', 'J2*2']"
2000158,2000158,CONNECTICUT AVE + #8101,38.99259,-77.077338,['L8']
2000161,2000161,RIVER RD + SEVEN LOCKS RD,38.992809,-77.162368,['T2']
2000162,2000162,FENTON ST + THAYER AVE,38.992861,-77.023991,['F4']
